OBJECTID_12,PLOT,Exposure,transect,site_combined,site_individual,SCH_p,SCH_D,TYP_P,TYP_D,LATITUDE,LONGITUDE,cost_small,Fetch_projected,water_depth,slope_USE,speed_limit
152,1,Exposed,WPSC,C,E,0,0,0,0,46.21547897,-84.15004598,11.71281719,2378.666016,0,24.41391471,14
153,2,Exposed,WPSC,C,E,0,0,0,0,46.21543799,-84.15006098,10.10146904,2378.666016,11,24.41391471,14
154,3,Exposed,WPSC,C,E,0,0,0,0,46.21539096,-84.15007297,10.10146904,2378.666016,45,4.269542487,14
155,4,Exposed,WPSC,C,E,0,0,0,0,46.21534302,-84.15007297,7.689554214,2378.666016,46,4.269542487,14
156,5,Exposed,WPSC,C,E,0,0,0,0,46.215297,-84.15009099,7.689554214,2378.666016,55,4.269542487,14
157,6,Exposed,WPSC,C,E,0,0,0,0,46.21525199,-84.15010097,7.689554214,2378.666016,80,4.269542487,14
158,7,Exposed,WPSC,C,E,0,0,0,0,46.21521,-84.15011597,3.832996368,2378.666016,83,4.269542487,14
159,8,Exposed,WPSC,C,E,0,0,0,0,46.21516096,-84.15012703,3.832996368,2378.666016,83,4.269542487,14
160,9,Exposed,WPSC,C,E,0,0,0,0,46.21511604,-84.15013097,2.72579217,2378.666016,85,-0.401023243,14
161,10,Exposed,WPSC,C,E,0,0,0,0,46.21507597,-84.15014899,2.72579217,2378.666016,86,-0.401023243,14
162,11,Exposed,WPSC,C,E,0,0,0,0,46.21503096,-84.15015897,2.72579217,2378.666016,98,-0.401023243,14
165,12,Exposed,WPSC,C,E,0,0,0,0,46.21497799,-84.15016903,2.719969511,2210.489014,125,-0.401023243,14
163,13,Exposed,WPSC,C,E,0,0,0,0,46.21493599,-84.15018302,2.719969511,2378.666016,110,-0.401023243,14
287,14,Exposed,WPSC,C,E,0,0,0,0,46.21488429,-84.15019591,2.714168072,2378.666016,149,-0.401023243,14
364,15,Exposed,WPSC,C,E,0,0,0,0,46.21484135,-84.15020116,2.714168072,2378.666016,155,-0.401023243,14
164,1,Exposed,WPSN,C,E,0,0,0,0,46.21552901,-84.15030498,10.58323479,2378.666016,118,-0.065634175,14
166,2,Exposed,WPSN,C,E,0,0,0,0,46.21548501,-84.15032099,10.58323479,2210.489014,15,-0.065634175,14
167,3,Exposed,WPSN,C,E,0,0,0,0,46.21544503,-84.15034303,4.304841042,2210.489014,75,-0.065634175,14
168,4,Exposed,WPSN,C,E,0,0,0,0,46.21540203,-84.15035896,4.304841042,2210.489014,54,-0.065634175,14
169,5,Exposed,WPSN,C,E,0,0,0,0,46.21535601,-84.15036399,4.304841042,2210.489014,59,-0.437451655,14
170,6,Exposed,WPSN,C,E,0,0,0,0,46.215311,-84.15037899,2.735243797,2210.489014,71,-0.437451655,14
171,7,Exposed,WPSN,C,E,0,0,0,0,46.21527001,-84.15039098,2.73312068,2210.489014,76,-0.437451655,14
172,8,Exposed,WPSN,C,E,0,0,0,0,46.21522299,-84.15040498,2.727165937,2210.489014,78,-0.437451655,14
173,9,Exposed,WPSN,C,E,0,0,0,0,46.215181,-84.15041403,2.727165937,2210.489014,76,-0.437451655,14
174,10,Exposed,WPSN,C,E,0,0,0,0,46.21513498,-84.150424,2.727165937,2210.489014,78,-0.437451655,14
175,11,Exposed,WPSN,C,E,0,0,0,0,46.21509098,-84.15043398,2.721226215,2210.489014,95,1.232763982,14
